ch1,ch2
0,0
-3228,32764
-14708,32764
-23836,32764
-28188,32764
-28448,32764
-29724,32764
-27808,32764
-24200,32764
-18716,32764
-15776,24440
-10652,-13984
-4624,-32768
-3868,-32768
916,-32768
4876,-32768
9208,-32768
11620,-32768
10488,-32768
10892,-32768
14464,-32768
15348,-32768
13852,-32768
15620,-32768
13440,-32768
12808,-32768
11884,-32768
11540,-32768
13556,-32768
11512,-32768
9336,-32768
10888,-32768
11364,-32768
10652,-32768
8720,-32768
7816,-32768
7272,-32768
7652,-32768
7524,-32768
7528,-32768
7032,-32768
6372,-32768
6132,-32768
3568,-32768
5148,-32768
5352,-32768
3424,-32768
4976,-32768
5348,-32768
4208,-32768
3604,-32768
3964,-32768
4476,-32768
4344,-32768
3988,-32768
4072,-32768
3808,-32768
2800,-32156
3312,-29428
3060,-27500
3552,-28192
3328,-25448
2668,-24456
2956,-23944
3448,-22404
2656,-21904
2276,-20240
2840,-19728
2060,-20248
2456,-20100
1780,-19184
1660,-19432
2432,-19720
2028,-19204
2404,-18436
1136,-18180
2156,-17944
2280,-17164
1636,-17932
1644,-17564
1392,-16244
1804,-15128
1260,-16144
1760,-15492
888,-15764
1524,-14972
1776,-14092
864,-14240
636,-13588
884,-12828
736,-12440
648,-12564
608,-11928
248,-12188
656,-11404
1008,-12304
-128,-12132
-24,-10504
232,-10784
888,-11004
120,-10392
-772,-10656
244,-10400
264,-9716
-776,-9580
-160,-8976
-8,-9100
8,-8700
-892,-7684
-616,-7828
-1284,-8196
-636,-8456
-792,-8600
-916,-8328
260,-8068
-1124,-8088
-512,-8456
228,-7572
-784,-7676
-268,-7456
-1412,-5780
-1312,-7524
-392,-6804
-1428,-5492
-1156,-5532
-1152,-6680
-1560,-6292
-904,-5516
-1548,-5000
-1408,-4876
-996,-5260
-1664,-5380
-1640,-5004
-1796,-4248
-1676,-3980
-1564,-4512
-1764,-4852
-904,-2952
-1824,-3952
-2288,-3980
-1296,-2824
-2792,-2700
-2316,-3076
