ch1,ch2
0,0
-3732,32764
-14348,32764
-23200,32764
-28412,32764
-29680,32764
-29340,32764
-28184,32764
-22664,32764
-19176,32764
-16148,26868
-9760,-17676
-4116,-32768
-3972,-32768
-148,-32768
4852,-32768
8440,-32768
9988,-32768
10976,-32768
11752,-32768
13084,-32768
14576,-32768
15340,-32768
14568,-32768
12920,-32768
13196,-32768
11792,-32768
12532,-32768
12928,-32768
12020,-32768
10216,-32768
11104,-32768
10356,-32768
9080,-32768
8808,-32768
8976,-32768
8044,-32768
8060,-32768
7904,-32768
6624,-32768
7008,-32768
6248,-32768
5260,-32768
5240,-32768
3816,-32768
5392,-32768
5396,-32768
3988,-32768
4712,-32768
4892,-32768
3608,-32768
4740,-32768
3608,-32768
4068,-32768
3568,-32768
3176,-32768
3556,-32768
3064,-32768
3832,-30228
3184,-27288
3332,-26856
3060,-26376
3168,-24848
2912,-24468
2804,-22256
2836,-21276
1816,-21276
2672,-20256
2036,-20848
2276,-20236
3056,-20584
1888,-19576
2156,-19704
1692,-19208
2048,-18952
2936,-19104
1424,-18208
1784,-17292
2044,-16916
1532,-15876
740,-17056
2024,-16756
1292,-16144
1268,-15132
1380,-14752
736,-15888
1140,-14748
1000,-14088
1172,-13820
1000,-13424
668,-13208
872,-12536
228,-12648
904,-12544
12,-11640
484,-12152
736,-12432
108,-11284
144,-11780
888,-11416
504,-10144
-492,-10784
228,-10016
140,-9868
-152,-10892
236,-9616
240,-9236
-656,-8196
-28,-8452
-136,-9236
-1528,-8212
-28,-8604
-264,-9068
-272,-7712
-488,-8592
-1696,-8072
-532,-7440
-384,-8048
-1264,-6908
-880,-6124
-744,-6792
-1812,-6676
-8,-6424
-888,-6300
-1280,-6148
-1180,-6144
-1808,-6916
-112,-5908
-1524,-5752
-1384,-5500
-1432,-5484
-1040,-5008
-2336,-5008
-1272,-5664
-896,-4636
-1944,-4240
-1424,-3608
-2708,-3852
-1820,-4244
-916,-3728
-2208,-2688
-2448,-3476
-1000,-3988
-2328,-3484
-1692,-3332
-1804,-2792
-2056,-2976
-1688,-3220
-1952,-2700
-2040,-3472
-1948,-2160
-2076,-2196
-2312,-1900
-2316,-1388
-2696,-1924
-2276,-2156
-2576,-2200
-1304,-1312
-2332,-1692
-1824,-1176
-2828,-260
-2956,-1696
-2064,-1668
-2572,-788
-1804,-2292
-3072,-744
-3076,-416
-1552,-1160
-2300,-376
-2704,-404
-2312,-640
-2320,-388
-2972,16
-2200,-260
-2820,-392
-2176,760
-2720,-776
-2332,-796
-2692,492
-2976,-1028
-1768,1676
-3224,864
-2828,-532
-2716,916
-3196,508
-2312,1764
-2684,1656
-2288,2408
-3180,116
-2336,908
-3084,1640
-2564,104
-2332,1260
-2844,1144
-2968,396
-2580,1128
-2932,1264
-1940,1648
-2408,2276
-2848,2172
-2572,2656
-3460,2668
-2816,1776
-1896,2716
-2660,3352
-3080,2180
-2300,2428
-2196,2028
-2840,1000
-2312,2420
-2696,2036
-3332,2420
-2944,2300
-2192,1292
-2440,2016
-2556,3048
-2584,2284
-2692,3476
-2816,2804
-3100,2580
-2456,3452
-2328,2816
-2452,2940
-2312,3196
-2712,3312
-2708,2808
-1416,2428
-3216,3172
-3084,2796
-2452,3068
-2712,4340
-2664,3836
-3228,2796
-2040,3580
-2548,3696
-2060,3680
-2588,4092
-2948,3564
-2836,4476
-2564,4320
-2564,3712
-2580,3816
-1952,3432
-2792,3472
-1932,3356
-2584,3828
-3212,3440
-2052,3196
-2024,4324
-2576,3204
-1948,3732
-2076,4072
-2312,4844
-2844,4220
-2576,4200
-2696,5228
-2576,4252
-1792,3964
-2540,4324
-2672,4216
-2824,4220
-1944,4728
-2684,4100
-2156,3960
-2588,4100
-2824,4980
-1540,4832
-2960,4636
-2328,5092
-1916,6008
-2592,5228
-2720,5100
-1688,4844
-2320,3352
-1820,4452
-3352,4328
-1824,3568
-1552,4708
-2848,5120
-1664,4364
-2704,4344
-1912,5100
-1540,5732
-2076,5620
-1940,5020
-2192,4716
-2276,5236
-2192,4596
-1816,3964
-2196,4084
-1820,5860
-1952,5500
-2332,4212
-2184,4712
-2320,4084
-1816,4884
-1436,5240
-1688,4964
-2028,5268
-1656,5496
-2464,6116
-1412,5756
-1892,4764
-1440,4980
-1528,5368
-1668,4964
-1668,5096
-1696,4200
-2296,4352
-1520,5012
-1552,4248
-2296,4476
-1428,4200
-1416,5124
-1808,4708
-1800,4860
-1032,6012
-1164,5992
-2052,5504
-1288,4716
-1140,5504
-912,6008
-1892,5096
-1696,4092
-1436,4888
-2060,6024
-1412,4716
-1156,4632
-1052,5368
-1940,4844
-1684,4596
-876,4988
-1424,4976
-1288,6016
-2208,5400
-872,4332
-796,6396
-1928,5360
-1672,4720
-1124,5504
-400,5000
-1384,4576
-1304,4860
-1284,4864
-1312,4868
-500,5472
-1652,4324
-800,5736
-1152,6244
-1412,5128
-1152,4836
-784,5632
-1156,4968
-1040,4996
-1424,5500
-1156,4720
-904,4988
-1004,4504
-24,4704
-1816,5100
-1292,4980
-1568,4600
-644,4368
-664,4752
-516,5472
-644,5344
-656,5228
-520,5872
-1436,5228
-1552,5496
-532,4856
-904,4712
-788,4208
-904,4324
-788,4988
